iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.002542290686710551,7,59,36,0.07257069283483544,0.28225788971700977,0.01222461908273389,0.22538841304488338,0.19392757694504356,0.20091899806891725,0.08528250314140698,0.17141725194975077,0.16493112151781963,0.17099207513450687,0.17220701343950043,0.16150133671126976,0.1803427769809436
2,-0.059906656144208786,15,114,70,0.1625189294977749,0.28350048835806874,0.010806729598920567,0.22549928343902925,0.1950091726980869,0.2009130816786368,0.08427124422725507,0.21477873150345778,0.18477164554413755,0.21194360871442755,0.21877410107806788,0.20427430843828295,0.22900486738411432
3,-0.04428566880763311,19,165,98,0.2107210313156526,0.2839386690302039,0.00976899166553397,0.2290566481962173,0.19507151868503503,0.19516065225569107,0.08700352016731944,0.2590769954040848,0.17243237343649584,0.26269151167150623,0.2532309522276427,0.24656447980142915,0.2760853295940421
4,-0.019542736640314636,24,218,127,0.2744368457017603,0.2861402192501451,0.01211244943678359,0.2329723446984683,0.19561883343911085,0.19374853800085895,0.07940761517463099,0.29077085933467917,0.24203225637582998,0.3031363426927204,0.283358986227618,0.2677000159746149,0.2673437192008691
5,-0.0683449549036572,26,266,153,0.3011050927839216,0.2846296665330195,0.013232490559944571,0.23146030134549697,0.19882336577066315,0.19677699121270473,0.07507718457817311,0.28428914919331294,0.292937804261535,0.2931566585279437,0.2868584560900351,0.2771009326465083,0.2372573210371447
6,-0.06478155570807044,27,320,180,0.31471074483970024,0.2836345419294818,0.012580057253558832,0.23313119958647024,0.20038436915305935,0.19767441379198006,0.0725954182854504,0.26960071114340944,0.22788779619045924,0.2739187190798863,0.2751227665134312,0.2567752501011209,0.23261087345002723
7,-0.021597216078492708,32,365,207,0.3856624808119847,0.27945399290592304,0.013675419058619269,0.22863392688623446,0.2012815577904068,0.19979622240334,0.07715888095547696,0.2914339545625895,0.3040355213221723,0.2959091718805411,0.30160187219811746,0.2879210322527268,0.2571843315981226
8,-0.028873329570853715,35,411,228,0.4307829160924542,0.27995889833772913,0.012356347339229256,0.22706006398415712,0.2003795965614184,0.2020435585968871,0.07820153518057996,0.30967505889059543,0.274346774549591,0.3116810455326073,0.3196814303431258,0.30653213119032563,0.2803557024317733
9,0.006135483688569895,39,455,246,0.49429632181478017,0.27595570522433427,0.012545032316022579,0.22617412576090787,0.2040026924480371,0.19948020119358062,0.0818422430571184,0.34652722373006506,0.3508584033564379,0.35304514949421867,0.36922175930950535,0.34355283791643737,0.3419066341814473
10,-0.011548156418656742,40,498,268,0.5108256237659907,0.2751707542988473,0.011492523051882753,0.22739740226242192,0.2005548347613344,0.1994305160430311,0.08595396958248257,0.3452760762755429,0.3226385223314552,0.35749516855639185,0.37225096365319477,0.342590697833122,0.380657079463333
11,-0.1036914376243582,45,542,284,0.5978370007556204,0.276415060119761,0.011799464003253223,0.2272906254528168,0.19719480723892904,0.1981170296689213,0.08918301351631602,0.3475708700039782,0.3033715528911941,0.35701591231356655,0.3607959954199352,0.3376579843491235,0.41140888976258694
12,-0.12145962992791545,47,584,302,0.6348782724359695,0.2802847989293682,0.012253989852577305,0.22268724978877044,0.1963323524952462,0.1959762956264528,0.09246531330758115,0.3630648778525414,0.3979627054698136,0.35880330218689094,0.3835154207510227,0.35064894406250635,0.4643270206695614
13,-0.07952884021093709,48,621,319,0.6539264674066639,0.28243062657003265,0.011902345325670954,0.22560792225732085,0.1983413865409512,0.188318632392425,0.09339908691359869,0.3833606198101172,0.4152922852484997,0.37018726748567266,0.4018820267979306,0.35910350601574065,0.506671760241975
14,-0.10119030127414741,51,660,331,0.7133498878774648,0.28169437054961083,0.011719958806107753,0.22534035758473414,0.19652797033961106,0.1884729069558636,0.09624443576407245,0.4114407799879203,0.3749985275897009,0.4030153907558599,0.4164846997460293,0.38327836342136024,0.6136965261055515
15,-0.13136193081195377,54,695,346,0.7765287894989964,0.28306237724116445,0.01123138786635292,0.22742798011211995,0.19606398634199246,0.1875744977223623,0.09463977071600532,0.3988263246281009,0.3306829635040411,0.38453733108693205,0.39387010257161365,0.35565445078383184,0.5536500786634279
16,-0.12181428812180795,54,730,358,0.7765287894989964,0.28277656120310185,0.009146361076487483,0.22889008119123733,0.19479414142747417,0.1897967225603605,0.09459613254133915,0.3889182042852507,0.26724544335452116,0.3818121139238065,0.390076031702614,0.35982491175385006,0.5331945526020125
17,-0.12104683508022669,55,765,371,0.7985076962177717,0.28042540982308883,0.01014971380249204,0.22605620449718677,0.1968694471204986,0.19416053358676233,0.09233869116996991,0.37611864382173793,0.2764666773771356,0.3644048573809231,0.38367740743341494,0.3613266505498476,0.46353679671371184
18,-0.04296263406157709,56,800,382,0.8209805520698303,0.2848428018486157,0.00939576447807764,0.2233776759190266,0.19619709491498485,0.1984160105433498,0.08777065229594408,0.38861683409703685,0.23431821226747715,0.36403915076227994,0.3930327048035522,0.37342051901143575,0.43480741764297764
19,-0.0746311102690097,58,836,396,0.867500567704723,0.2844664246870434,0.010100276999206834,0.224417408792124,0.19561330199539723,0.19697263025108872,0.08842995727514234,0.39680853648900194,0.250665170140939,0.37831333839681114,0.39958730492123906,0.38643617975547045,0.47178364856402116
20,-0.0565917609528697,59,869,412,0.8915981192837834,0.28268459589849226,0.012803254856674771,0.22674369408216924,0.19193437270092317,0.19473789515599693,0.09109618730574635,0.4107871389412273,0.38533483408277364,0.4035666787203667,0.39598354926325646,0.3941731959051494,0.5096854780038309
21,-0.10741809354950249,61,901,426,0.941608539858445,0.2829662989933598,0.014275223536993805,0.22599599081316743,0.18999127633181273,0.1984138487741628,0.08835736155050355,0.4132050216659683,0.48936311867712307,0.4014263550511275,0.3872778890053037,0.38329272306104345,0.4778037564804477
22,-0.09440813997450974,61,934,441,0.941608539858445,0.28094534302842183,0.014624422200018132,0.22307345160467132,0.18989706693931585,0.20144907098007056,0.09001064524750488,0.4245042758102403,0.5177223403388543,0.4147591629963606,0.3991036226558962,0.41444437502396847,0.47735943255087016
23,-0.13667362903916697,61,967,457,0.941608539858445,0.28270115746037133,0.014408100735312662,0.22507674316329965,0.18688627157483909,0.20710302170814407,0.08382470535803185,0.3806286041648686,0.427962269106172,0.3743170603751275,0.3478798187371409,0.38375021784536667,0.3476840923470047
24,-0.0994531691254236,62,993,471,0.9675840262617056,0.2808529465011505,0.013996383711747629,0.22595861043378282,0.1897079339298145,0.20586139073235596,0.08362273469115257,0.3769141765888748,0.3911118200651277,0.37194733446608924,0.34650698496789645,0.3784769062509714,0.363731552950239
25,-0.08716405010724043,62,1021,485,0.9675840262617056,0.28048817737889037,0.012126900504859496,0.225716499169911,0.18754847541844474,0.20719684809604236,0.08692309943185345,0.3809396040597396,0.31542748990926794,0.3733026607474641,0.3542504586988186,0.37735310426482993,0.3912457379071015
26,-0.07630700262660592,62,1047,498,0.9675840262617056,0.2818303288509636,0.011909320418632362,0.22662039997395284,0.18556487928314813,0.20780925897065677,0.08626581250264752,0.35525296560793235,0.2898654435118612,0.35012679609970027,0.32250378351788034,0.3617673314101062,0.34495277409214886
