iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,-0.0006879775812173117,6,63,38,0.06187540371808747,0.2822578897170098,0.01222461908273389,0.22538841304488338,0.1939275769450436,0.2009189980689173,0.08528250314140699,0.17141725194975077,0.16493112151781958,0.17099207513450687,0.17220701343950043,0.16150133671126973,0.1803427769809436
2,-0.030928053332720497,11,123,71,0.11653381625595152,0.2895642548598628,0.011437375356492885,0.22183202470526187,0.19992289733752652,0.20523516603451464,0.07200828170634038,0.20622016012062047,0.16180408288118087,0.19252144609185437,0.22237665400886988,0.19496681296628177,0.18460604961548022
3,-0.05230649810244358,16,186,107,0.17435338714477777,0.28390382978952744,0.012286720079730001,0.22361052425072236,0.1976911757182583,0.2054833624113033,0.07702438775045954,0.24968213286930957,0.22719301645380796,0.24605657231646938,0.2752586841033492,0.2407490526528778,0.22412578263538704
4,-0.028965543161305125,21,242,137,0.23572233352106986,0.2798722992068653,0.01218883406118492,0.22441027717457374,0.19997867897262417,0.20368378217002517,0.0798661284147246,0.29664677436781395,0.32063456050811706,0.2961737887691831,0.3283691099817359,0.29311933538951657,0.29247140923421316
5,-0.01713020111493157,24,297,169,0.2744368457017603,0.2772371396668174,0.011514144786132765,0.22503764857159508,0.19997011611623614,0.2050999210961632,0.08114102976305479,0.31875282758140233,0.32149758807231976,0.31826459390623996,0.352234575223052,0.3218511423548559,0.32496937245764784
6,0.06136229153739564,28,348,196,0.3285040669720361,0.27724693465615685,0.01096100015254628,0.22462728935613233,0.20038786015591525,0.20646448750867338,0.08031242817057278,0.3430210069006499,0.29182724135718313,0.33891441916633624,0.374136618178288,0.3521044125461036,0.3299476770178218
7,-0.015735862160614268,30,401,225,0.3566749439387324,0.2778364219169629,0.012244924670637316,0.22050060088044582,0.20117517385315317,0.2062155536121727,0.08202732506662334,0.36069398854649654,0.35743642623616734,0.35292205758766465,0.40008209910389786,0.3711597289950511,0.3507172766476814
8,-0.01615882833850593,33,448,251,0.40047756659712536,0.28064651358549014,0.012791564892447607,0.21951267431748175,0.19957631603662235,0.20407619638010943,0.08339673478784722,0.40581903693126614,0.4420873570191907,0.39462524716667136,0.45092785231798316,0.4127841817352933,0.419452942292334
9,-0.04471995886926167,37,489,275,0.4620354595965587,0.2828787059688799,0.01411637329371299,0.21843794524365426,0.20177478441289615,0.19975656961183377,0.08303562146902284,0.42357904100726596,0.5924798397150544,0.40973060118496574,0.4720815795763159,0.40921228668738174,0.42599290145008195
10,0.03314533642097986,39,533,295,0.49429632181478017,0.2816231592812709,0.01334466782011808,0.21942932823513023,0.20041660387165403,0.20362620057930153,0.08156004021252346,0.4243613901980907,0.5183302999742712,0.40829489733057256,0.4683251428553952,0.41657082968199144,0.4055183015241572
11,-0.05736236516388924,41,576,315,0.5276327420823718,0.2850324781250833,0.012139941173865153,0.21800613404675553,0.20264004665638727,0.20412522862348645,0.07805617137442214,0.4130695631583438,0.3883102763571794,0.3876082291969222,0.4655305866272015,0.4105170645546822,0.3799311048538075
12,-0.06043987222020182,42,614,333,0.5447271754416719,0.28159562431671814,0.012628620518195618,0.21972300316090546,0.20112336830757924,0.20242805009470521,0.08250133360189423,0.417794095207233,0.42510451080159534,0.4028691140872302,0.48140044767554824,0.41969132373853835,0.4156879717669375
13,-0.11800372375051403,42,653,359,0.5447271754416719,0.28265577294070265,0.012898385341489365,0.2174524729005827,0.20226238740861285,0.20348797534489385,0.08124300606371729,0.40663688272882015,0.4264644030700353,0.39034076557062364,0.4573752817446648,0.41641232951474727,0.3982737867554657
14,-0.07324135115033631,47,688,380,0.6348782724359695,0.28412046580946776,0.013511788846813078,0.22049445678027196,0.19604938842932487,0.2037647095059857,0.08205919062813602,0.42059203628168634,0.4558166407164915,0.4045122092625556,0.4442733474613474,0.4256966566878863,0.4267339411405131
15,-0.08982382584104602,48,725,402,0.6539264674066639,0.2822846248116586,0.013373031537507874,0.22409055983560527,0.19379409353979782,0.2065392466281512,0.07991844364727738,0.43401675269316164,0.48122216121140243,0.4292833520748094,0.44353014246991146,0.44480532431877057,0.41356139572695483
16,-0.0026120676453817615,49,756,423,0.6733445532637655,0.2810620901986455,0.014176723069030983,0.22490942283160856,0.19353785527603848,0.2074492821060912,0.07886462651858477,0.45608127243543517,0.6085108229071936,0.4521222413896677,0.45433078854372355,0.46650472034781937,0.41985162902809686
17,-0.05983815334517214,50,789,444,0.6931471805599453,0.2805235659182242,0.013677642264191046,0.22367208245086365,0.19438728515385797,0.21006710896585323,0.07767231524700831,0.46270761861122833,0.5153498224336341,0.46335450870108513,0.4672062380840836,0.49966461561004494,0.4163456757856724
18,0.060660060196203396,52,822,467,0.7339691750802005,0.2842837271629308,0.012791230705109726,0.22442817880469446,0.19481760556035732,0.20915369445498275,0.07452556331192474,0.44539481320225643,0.36695328650267545,0.4448333039306941,0.4422165143991851,0.4602228696209578,0.37555524038169447
19,-0.07837456074980702,53,858,491,0.7550225842780328,0.2823501130292898,0.013405499688158115,0.22513491302192087,0.1977789205495412,0.20591368759233125,0.07541686611875911,0.4438445855992166,0.4334615363339047,0.4629352997461807,0.44890697200706653,0.45301321289177215,0.4036001036221558
