iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
56,-0.04205214155080373,73,1903,1295,1.3093333199837622,0.25118642278906606,0.24805409712354165,0.252063936906641,0.24869554318074935,0.36080185456951863,0.36080185456951863,0.36080185456951863,0.36080185456951863
57,-0.031666859076146886,73,1921,1310,1.3093333199837622,0.2516034689237769,0.24905175463063642,0.24889131330471964,0.2504534631408639,0.36320393567758813,0.36320393567758813,0.36320393567758813,0.36320393567758813
58,-0.037777950663898496,75,1941,1325,1.3862943611198906,0.25151944647795516,0.2505656811205031,0.24877234869116016,0.24914252371037954,0.36626971005079256,0.36626971005079256,0.36626971005079256,0.36626971005079256
59,-0.041981838549673675,75,1958,1340,1.3862943611198906,0.24919531262718472,0.24972391174764516,0.2500414166775098,0.2510393589476621,0.37987560623412714,0.37987560623412714,0.37987560623412714,0.37987560623412714
60,-0.058146479911847,76,1981,1356,1.4271163556401458,0.24947122136384922,0.2495230740717124,0.24963241051829,0.25137329404614756,0.43244478210667536,0.43244478210667536,0.43244478210667536,0.43244478210667536
61,-0.027356250062184066,76,2001,1370,1.4271163556401458,0.2488650657557843,0.24981391202544118,0.2501272453299407,0.2511937768888332,0.4311634148243802,0.4311634148243802,0.4311634148243802,0.4311634148243802
62,-0.07162218917424347,76,2021,1385,1.4271163556401458,0.2501165714508848,0.2490394301848532,0.24943248390053788,0.2514115144637224,0.4277488683545153,0.4277488683545153,0.4277488683545153,0.4277488683545153
63,0.021342584850114074,76,2040,1401,1.4271163556401458,0.25007439108135,0.24866277153130098,0.2503004896278678,0.2509623477594785,0.4027069314080776,0.4027069314080776,0.4027069314080776,0.4027069314080776
64,-0.0043452254211881125,77,2059,1416,1.4696759700589417,0.2494845723416435,0.24798043498824598,0.2503225344003434,0.25221245826976507,0.3990363042833539,0.3990363042833539,0.3990363042833539,0.3990363042833539
65,0.016655072616174323,77,2078,1429,1.4696759700589417,0.2523666277835099,0.2464653565316966,0.25023845811237216,0.2509295575724206,0.3784204988049869,0.3784204988049869,0.3784204988049869,0.3784204988049869
66,0.033848087569591,77,2098,1443,1.4696759700589417,0.2519163477564867,0.2486290679812198,0.24966879415524437,0.24978579010704688,0.38715319879488047,0.38715319879488047,0.38715319879488047,0.38715319879488047
67,0.05994556553772513,77,2118,1458,1.4696759700589417,0.2515479573798208,0.2468618558756345,0.2502435036354848,0.2513466831090579,0.3929468961906625,0.3929468961906625,0.3929468961906625,0.3929468961906625
68,0.06992270001752396,77,2135,1472,1.4696759700589417,0.25187119507463396,0.2467670580719243,0.2498444076966867,0.251517339156752,0.36777413679532844,0.36777413679532844,0.36777413679532844,0.36777413679532844
69,0.0945402713576527,77,2153,1489,1.4696759700589417,0.25225982078668113,0.2443929836557164,0.25114481777395453,0.2522023777836479,0.3694318211393816,0.3694318211393816,0.3694318211393816,0.3694318211393816
70,0.09469461700324619,77,2171,1504,1.4696759700589417,0.25282658888596954,0.24440823328136865,0.2505842669261029,0.25218091090655964,0.36716248185099176,0.36716248185099176,0.36716248185099176,0.36716248185099176
71,0.13145266980592674,77,2190,1521,1.4696759700589417,0.2547681881061343,0.24400162841992734,0.25010810570934444,0.2511220777645933,0.3703286896590921,0.3703286896590921,0.3703286896590921,0.3703286896590921
72,0.07415119741052136,77,2207,1538,1.4696759700589417,0.2527847704195651,0.2460254749816241,0.2500150663815051,0.25117468821730726,0.3868678316030973,0.3868678316030973,0.3868678316030973,0.3868678316030973
