iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
43,0.14480791282601252,26,159,311,1.0498221244986778,0.25655631914842164,0.24518912844769342,0.2510007955938593,0.2472537568100255,0.43393151020749354,0.43393151020749354,0.43393151020749354,0.43393151020749354
44,0.18009061091426995,26,162,316,1.0498221244986778,0.2580396762882474,0.24588032082637648,0.2470339700666609,0.24904603281871723,0.4585192018255125,0.4585192018255125,0.4585192018255125,0.4585192018255125
45,0.10760930466326576,26,165,320,1.0498221244986778,0.24718327780911495,0.2508542116993932,0.24711039628604,0.2548521142054511,0.430643453358431,0.430643453358431,0.430643453358431,0.430643453358431
46,0.09121175994952223,26,167,323,1.0498221244986778,0.24825417314388215,0.25094711774164047,0.2475172862019309,0.253281422912548,0.41921946916637604,0.41921946916637604,0.41921946916637604,0.41921946916637604
47,0.07347923388647694,28,168,329,1.203972804325936,0.25081361469127517,0.24788959291533355,0.2501072789348249,0.2511895134585649,0.39499779304822563,0.39499779304822563,0.39499779304822563,0.39499779304822563
48,0.03920391456224005,28,172,335,1.203972804325936,0.24480997507889368,0.24956395944178866,0.2505297566632606,0.25509630881605533,0.3529554418546571,0.3529554418546571,0.3529554418546571,0.3529554418546571
49,0.08860848686525605,29,173,340,1.2909841813155658,0.24820924122308763,0.24840836238350125,0.247233585261134,0.256148811132277,0.3756397826970777,0.3756397826970777,0.3756397826970777,0.3756397826970777
50,0.014480455163253383,29,175,345,1.2909841813155658,0.24221149753214566,0.25426791250937086,0.25083921881825294,0.2526813711402311,0.34690873129723043,0.34690873129723043,0.34690873129723043,0.34690873129723043
51,0.04386908128651203,29,176,350,1.2909841813155658,0.24916968424614314,0.24374346248429274,0.2501506501106564,0.256936203158907,0.4131992862644795,0.4131992862644795,0.4131992862644795,0.4131992862644795
52,0.019618974701837703,29,181,353,1.2909841813155658,0.24772394537227813,0.2421697462300938,0.25240747988693835,0.2576988285106913,0.4461499147465392,0.4461499147465392,0.4461499147465392,0.4461499147465392
53,-0.005856828366168452,29,183,357,1.2909841813155658,0.24641976132467014,0.2398201237672823,0.26013224365202237,0.25362787125602376,0.4585133035128705,0.4585133035128705,0.4585133035128705,0.4585133035128705
