iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,-0.08158697082997193,10,59,38,0.10536051565782631,0.28635407685773256,0.0130746095395118,0.22501285899823092,0.20347566205947612,0.18867910970147617,0.08340368284356958,0.21497693707011054,0.1949204720980324,0.21294316441033745,0.23247942452997916,0.1923475406193457,0.21605207457602588
2,-0.016331977047612425,18,115,66,0.19845093872383823,0.2855487908055565,0.01174651233106208,0.22467234879022202,0.20920785821513338,0.18703895822812694,0.08178553162989939,0.23028958718531078,0.21274805635809232,0.22440923894498843,0.2606965536978527,0.2080087424793774,0.2131305358319984
3,0.04251184747216221,24,168,97,0.2744368457017603,0.2846281901380915,0.009634476529935295,0.22513377781565894,0.20874553739642362,0.1912920625557217,0.08056595556416865,0.2649786942403654,0.15562435422073612,0.2626861739528335,0.29894824407736337,0.2427675414901821,0.2507661862705986
4,0.08073535673314147,26,223,130,0.3011050927839216,0.2854645885940757,0.011085152072960947,0.2244975571884373,0.20037534782220157,0.19897710033162805,0.07960025399069733,0.30980391823649034,0.2860622297404557,0.3054102573055635,0.326324485101007,0.2982868494140587,0.2959844937872234
5,0.10708836009209236,28,273,162,0.3285040669720361,0.28370345269586306,0.011132124161492033,0.22276332948633082,0.19739312201915918,0.20321910938070367,0.08178886225645217,0.34260769209580655,0.28553150965891555,0.3349853201964059,0.34464589590509076,0.3394093587049138,0.32688479038081675
6,0.08004268676383307,30,321,191,0.3566749439387324,0.28501634279435795,0.011885219330238261,0.2211329063064926,0.19531013298351252,0.20389595163058355,0.08275944695481334,0.3624842942912043,0.32613609269308846,0.3478862027339219,0.35132906845572115,0.36372737321815474,0.3488117537688908
7,0.09225240505912549,33,369,221,0.40047756659712536,0.28545271892729923,0.013142548779024352,0.2197292598398111,0.19146684248353038,0.20594902971241588,0.08425960025791873,0.3901531829094864,0.37051722348744787,0.37893335102651826,0.36542636722057564,0.3795775512320677,0.37741272788923025
8,0.03517350892450377,35,423,252,0.4307829160924542,0.2824408501294771,0.013793094234237158,0.22160391628479673,0.19167939423369076,0.2080695620926585,0.08241318302513892,0.4307314679708765,0.47666041813398935,0.4223582881849146,0.4162924610515163,0.4313981150394547,0.42521918172088075
9,0.11305635745076559,36,477,282,0.44628710262841953,0.280556694818726,0.013000474025832287,0.22247280181192194,0.19321347407131492,0.20728376191673872,0.08347279335546359,0.4806736851390795,0.49588455537376624,0.48823633342090517,0.4753752303173979,0.4917644141978385,0.5043894678774605
10,0.12164450066316855,37,526,307,0.4620354595965587,0.28235603552859445,0.012272965377971864,0.22267591842733964,0.1945332810580101,0.20486065538320536,0.08330114422487878,0.4691295875275436,0.41648279850798026,0.47248604215201534,0.4654490196432113,0.47007887068672854,0.49768905404507174
11,0.07943766836324437,43,571,335,0.5621189181535412,0.2820244797383643,0.011890894219350244,0.2229744457103947,0.1970280506848903,0.20259192751407834,0.08349020213291689,0.46358370728641307,0.391469519806117,0.46225195456980683,0.4644294632907987,0.45494967674394204,0.506882184938572
12,0.06991538701105542,46,611,357,0.616186139423817,0.28246796866768575,0.010020258314224132,0.2267317312404667,0.19632855972291952,0.20063419629007193,0.08381728576463071,0.4242717544463119,0.2921086477744069,0.43164684835128314,0.42234728097800245,0.401212199440425,0.46134462257705133
13,0.0009030645579106222,49,646,381,0.6733445532637655,0.2835422623368269,0.009727425371590732,0.22868815871073414,0.19527983364086604,0.20035760686853554,0.08240471307144745,0.433431085364204,0.3027068763544093,0.4438055986424011,0.42835535959428583,0.41575906376111643,0.4507348549500297
14,0.059813615972030866,50,683,401,0.6931471805599453,0.2834059817765569,0.011357728681047282,0.22634082157161756,0.19450000751714813,0.2007741701394884,0.08362129031414055,0.4543963721839811,0.35365897697200493,0.46471175159336003,0.44335713920224845,0.4482337821946573,0.5149909684193079
15,0.09323567395127216,51,722,425,0.7133498878774648,0.2818665311750817,0.012398651115803494,0.23139209330877772,0.19129921200921302,0.20304832795471064,0.07999518443641074,0.4672726931774672,0.4538471154616243,0.4953272743837539,0.45666382384725057,0.4594747438234821,0.4751772290386019
16,0.08091755384240638,51,761,447,0.7133498878774648,0.28269356048068006,0.011963150673394055,0.23113860610082074,0.19345822690410003,0.20257742523137692,0.07816903060962611,0.4845931562112218,0.45205902376211615,0.516308470717142,0.49252298954557644,0.4741684507790525,0.4634098226456008
17,0.04019181615543002,52,796,467,0.7339691750802005,0.28063413487365524,0.011751033879743184,0.2281191876528579,0.19683678216293812,0.20163900974069396,0.08101985169010868,0.48906719021238776,0.4441876374244995,0.5214416727913206,0.5271524880114103,0.48266238297111697,0.477328499656729
18,0.09414365648039427,54,828,488,0.7765287894989964,0.28262368885737355,0.012566629664951385,0.22541603936126106,0.20164760482881958,0.19840494461508176,0.07934109267251206,0.4639265177274967,0.4642182738648709,0.4827939264025185,0.4996353462344121,0.4359428416818083,0.4513618744170117
19,0.030116928581555017,56,857,509,0.8209805520698303,0.2817127461780461,0.011558191310704262,0.21960772147061308,0.20523195987440004,0.19845651329855815,0.08343286786767687,0.4519813874387916,0.40101125053785736,0.45202528091007305,0.49937100362891823,0.42255333670471956,0.48604578123085895
20,0.07141243815731314,57,887,529,0.8439700702945289,0.28098613736975736,0.009881782646395759,0.22142668221866374,0.20011935356656887,0.1978299102264242,0.08975613397218743,0.4556921852988813,0.34654635118606525,0.4523817877648798,0.48625340027512154,0.4148861228612146,0.5610125644736472
21,0.03149173339882999,58,917,550,0.867500567704723,0.2757699870273869,0.01149578827704547,0.2228569376984544,0.1988455431728775,0.20156402382219224,0.0894677200020438,0.4206129466862222,0.3335618533694629,0.4258141662878137,0.4532604585712954,0.3964771642622304,0.5097321853018649
22,0.02716428949990129,59,946,568,0.8915981192837834,0.2743957424997791,0.011695245518193422,0.2258332213525253,0.20250257203420016,0.20104400982523968,0.08452920877006272,0.43740265519079546,0.3574918891920013,0.4477599603799058,0.4724060270753915,0.4226827611631437,0.45635574002457774
23,-0.015981342841216356,61,975,587,0.941608539858445,0.2735604769522114,0.012131407885147336,0.22449945699692128,0.20234367088781413,0.2044849619456725,0.08298002533223325,0.42587324068838533,0.3981321981055527,0.43894535720635375,0.4486226049541474,0.42373662352893127,0.4316786534221519
24,-0.04278599127919585,63,1004,605,0.9942522733438669,0.2759898742976553,0.012191413240205787,0.22420716164609614,0.20133470052016578,0.2074207137295169,0.07885613656635881,0.4171823908906333,0.3736512963674764,0.42383401896511724,0.4270915163659023,0.4225546814252238,0.3927955901794958
25,-0.010872789527611792,64,1029,621,1.0216512475319814,0.2744272962713737,0.011580212535127,0.2208432644754688,0.20528388142427242,0.20856930634389348,0.07929603894986356,0.3897415470363479,0.3029145708626342,0.39475596037521965,0.41737794852659815,0.400903644480465,0.36348364842198877
26,-0.059585833051522936,64,1055,637,1.0216512475319814,0.2733674965052297,0.012131695657733838,0.22704618527135406,0.20388086675978673,0.20555878386796464,0.07801497193792807,0.392698610567129,0.3312444888252609,0.41568030053199506,0.42292119905110226,0.39813627500429616,0.37098948307231167
27,-0.019946002477258612,64,1080,652,1.0216512475319814,0.2708532488683792,0.011877232132397553,0.23103858692612714,0.203521999345622,0.20712254454289353,0.07558638818457948,0.3638888101010662,0.27863040983880555,0.3971894495506988,0.3847814245925764,0.3675953965911343,0.348123058748255
28,-0.04634517147822377,65,1104,666,1.0498221244986778,0.2707746012416695,0.011263173761050254,0.23286570652249405,0.19903501683546942,0.20624869410076618,0.0798128075385513,0.3529990892687655,0.2664995115365303,0.38308346913983354,0.36503432670719915,0.34673761024040345,0.3509756895081393
29,-0.06189980204726419,65,1129,681,1.0498221244986778,0.27220052436032516,0.010939305495170318,0.2331708956030176,0.19688043214464548,0.20232706802809344,0.08448177436874434,0.35669553012396565,0.27403099959398586,0.38829265885307285,0.3572212531966182,0.3403332421132679,0.3912675424240344
30,-0.04626639778887823,66,1153,697,1.07880966137193,0.27748918465231626,0.010059657734949674,0.22605134176351613,0.19672356011140954,0.2033179460387847,0.0863583096990208,0.3784072577102461,0.2343301085047684,0.3852873308133243,0.37983627640016593,0.37290470550674837,0.43397704148083965
31,-0.07247147209687217,66,1177,713,1.07880966137193,0.27842344762711696,0.01118452172124308,0.22561401096932962,0.1955944997848848,0.2049320705158958,0.08425144938153,0.37838084210210676,0.27364393055489267,0.37576001381944657,0.3728159828497343,0.3729444342366379,0.4190300787757844
32,-0.06606184145022187,66,1202,729,1.07880966137193,0.2780596467708325,0.012012660830589566,0.22585148864872928,0.1963173281401839,0.2056842076176938,0.08207466799197011,0.4241952696300677,0.37672656319108977,0.4230745158790723,0.42282610900631473,0.419259615822919,0.4434463473214034
33,-0.11419148928851607,66,1228,746,1.07880966137193,0.282833776815227,0.01125849104206479,0.22687771613303082,0.1965813757420725,0.20504087475964122,0.0774077655079611,0.4273458665541769,0.3280581686006797,0.4251421395988167,0.43132492151260843,0.4186396168489526,0.41375167863761875
34,-0.11915064924409728,66,1254,762,1.07880966137193,0.2810311493537602,0.011405903818786839,0.22565859519876322,0.20085913002282746,0.20312987666919594,0.07791534493666401,0.4379856784957351,0.3484729695809372,0.43246609265503033,0.45527124164230937,0.42559956999950826,0.4235573098438563
35,-0.0970679322754599,66,1282,776,1.07880966137193,0.2814383835522224,0.011050362847243044,0.22892211374625487,0.19960234360699325,0.20126949953511372,0.0777172967121701,0.4393394717261525,0.3012991445776643,0.4417371167121629,0.449007954212442,0.41967675238526236,0.4116440549248768
36,-0.17297227664931736,68,1309,793,1.139434283188365,0.280119158104883,0.010703750522135166,0.23149500696993727,0.19823556138828766,0.1995948374490452,0.07985168556571078,0.4108829293314707,0.26429496848339634,0.4174443589688375,0.40178205967107233,0.38868562895845177,0.41135816309854717
37,-0.09261488384806543,68,1336,810,1.139434283188365,0.2808345955781353,0.01043590392029712,0.22683824667448238,0.1980636089294916,0.20096357062824843,0.08286407426934687,0.38512015797633653,0.25216773573515616,0.38202631377125756,0.37140508569014086,0.3639387337527915,0.4011035580107385
38,-0.11585037917446586,68,1364,827,1.139434283188365,0.28144750378905836,0.01265472536366704,0.2302599662176872,0.19572156307666475,0.1990144218696148,0.08090181968330805,0.3990261538153324,0.33387591546738504,0.40587321571368545,0.3686162132164787,0.37130379365500016,0.41826442901926253
39,-0.04043054847805244,70,1389,845,1.203972804325936,0.28450844709559603,0.013956522549832297,0.22641199118438707,0.19588413366840274,0.20029897401698665,0.07893993148479662,0.4037476614169859,0.4109619870063275,0.4008646623776877,0.3748505751732798,0.38260695108647214,0.38438690076019694
