iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.006052283967889436,5,63,38,0.051293294387550536,0.28225788971700977,0.01222461908273389,0.22538841304488344,0.19392757694504356,0.20091899806891725,0.08528250314140699,0.1714172519497508,0.16493112151781963,0.17099207513450682,0.17220701343950043,0.16150133671126976,0.1803427769809436
2,-0.048529414519427674,11,122,73,0.11653381625595152,0.2877941270708285,0.010494891116671668,0.22218068861160267,0.1971890564827555,0.20537807040618827,0.07696316631195012,0.20620442715357915,0.15902499458978012,0.19463972205033575,0.21592389765715708,0.20351642073411422,0.20424113294478768
3,-0.0361143487464683,13,184,110,0.13926206733350766,0.2884008233858377,0.009765851734994153,0.21803466306058905,0.20124295198465625,0.19974059340377334,0.08281511643014972,0.23613295305629636,0.1524150563885433,0.2231471677604494,0.24999282110154275,0.22986511048782146,0.22147889560812248
4,-0.069588841444274,19,237,142,0.2107210313156526,0.28939912613578495,0.009417808368119633,0.22672631842630317,0.1912607480321452,0.19509182509179093,0.08810417394585547,0.27221253802435635,0.1800740244452956,0.2666841687373243,0.2762239252042517,0.25166553303843187,0.2957609313172061
5,-0.04134017760745195,19,293,174,0.2107210313156526,0.29080599433199084,0.009195332756610377,0.2222341881665208,0.18908226756936658,0.1970606359436928,0.09162158123182022,0.29720923742911365,0.2317808294354553,0.2878007060024589,0.2961466907238355,0.2794347818416492,0.34316659403836947
6,-0.10915296203678632,22,345,201,0.24846135929849963,0.2853213309545553,0.011658568665703166,0.21898354399494244,0.19111859157455677,0.20373009193932584,0.08918787287091384,0.32360716788060856,0.2977574935921931,0.30784805583338654,0.3357244586366262,0.3238747094300745,0.37648723366979725
7,-0.027297103912637493,27,398,229,0.31471074483970024,0.28464335684474884,0.008893452117240718,0.21866848032824499,0.18838778792791785,0.20973675866228833,0.08967016411955697,0.3415292540823295,0.2167896041779691,0.3153841764240634,0.3474553173905039,0.36282417683406204,0.3850627453755365
8,-0.12135735339454153,31,444,252,0.371063681390832,0.2835216781268965,0.007993332144392327,0.2154752959754715,0.1928181148382978,0.2158457178713663,0.08434586104357317,0.33628454753343956,0.1586559327794244,0.3018820523941477,0.33959267540351695,0.3623730924689322,0.350264495117449
9,-0.02619655979580439,34,490,275,0.4155154439616659,0.28305414659400563,0.005827535548536033,0.21674480232356108,0.19586427906734,0.21551621787134073,0.08299301859521686,0.35162081973728965,0.18198795140489324,0.31576611966622264,0.3632568852197465,0.3791379574736377,0.3753464636661331
10,-0.056417567863066675,37,532,298,0.4620354595965587,0.2815686541676273,0.008229296860348465,0.21808795499176886,0.1921936206063079,0.21446502530039097,0.08545544807355668,0.34807571742914056,0.23082524099778357,0.3147502702372288,0.357295787596578,0.3621340216463167,0.36644067338733033
11,-0.0033554526857135815,41,577,323,0.5276327420823718,0.28401247076031993,0.010646515844490848,0.21871743762313717,0.18942600797961193,0.21607293850315795,0.08112462928928048,0.3649815919137011,0.3691018332853064,0.330558252214611,0.35827863660952897,0.38597672303861685,0.34704620691617166
12,-0.06393811463372216,43,621,347,0.5621189181535412,0.2814561577249605,0.010979424698375954,0.21867714452560963,0.18890738891158373,0.21616658574285105,0.08381329839661876,0.3957707570695561,0.40174853342564887,0.35811119224999655,0.39805477980103293,0.4392455261434058,0.38430828954648744
13,-0.07020204177626103,47,666,368,0.6348782724359695,0.28233018565760615,0.012833696559393586,0.22041746739044038,0.19078962861493437,0.2114047640035352,0.08222425777408844,0.4227423494716683,0.4905024016619494,0.38278012323916694,0.4252486392593651,0.4511884700421727,0.41298971495150744
14,-0.027409962815323766,49,710,392,0.6733445532637655,0.27914261732243667,0.013064973416561192,0.22024248918065828,0.19513705573412038,0.2114274064895795,0.08098545785664314,0.4493373429987599,0.5315087512199663,0.41926401585553824,0.47277821194553515,0.49696491888061856,0.4156416705131593
15,-0.04661262559660444,53,751,414,0.7550225842780328,0.2779258797376496,0.012706658109373827,0.2184791780020666,0.19836802907468806,0.21125367348799612,0.08126658158822378,0.4773716740351123,0.536113489370915,0.4503119742225066,0.5167377475917382,0.5254688088258546,0.4852441305546425
16,0.013690922116783289,54,791,435,0.7765287894989964,0.2809086397714159,0.0128504653024718,0.22188692761551923,0.1920920766065859,0.2116305394058765,0.08063135129812779,0.46318537092355205,0.5250793898005525,0.4440296924828414,0.47959667141252554,0.49763851613591764,0.4607661830497394
17,-0.00039583101341646084,56,825,455,0.8209805520698303,0.2814045335415404,0.013382754641465858,0.2220704020438783,0.19242822050473632,0.21189806004337142,0.07881602922500691,0.426379259436448,0.5157319973210533,0.4045950443797269,0.4349746798103007,0.4491268031711406,0.4190506611948415
18,-0.005452275201944288,56,862,474,0.8209805520698303,0.28449181517017014,0.013072213225372668,0.22159488054202697,0.19284029972939712,0.2122173287889591,0.07578346254407613,0.4252846778715753,0.48112386442142835,0.40620935925497625,0.430775527498394,0.4617693052035049,0.3668511942528824
19,0.011717082496403457,56,899,497,0.8209805520698303,0.2838442886834747,0.012774316680224313,0.22455432115052995,0.1961860058916259,0.20772434439105825,0.07491672320308335,0.40143228995734836,0.4498155918430791,0.39674595003041785,0.41666934914046816,0.42874349905646963,0.3344921972908404
20,0.033026679512315645,57,934,519,0.8439700702945289,0.28182001228386905,0.01696361599074345,0.22334736741442535,0.19900830661053837,0.20616209437166338,0.07269860332876436,0.38213292586553305,0.7288485073404467,0.36807191522295774,0.4049915916397698,0.40232590013877895,0.32266913485958504
21,-0.04187177520351667,60,967,542,0.916290731874155,0.2799268657594037,0.015787734292577994,0.22254666936051923,0.1969923720653443,0.2105691178696147,0.07417724065254229,0.3780964387711305,0.6249507428397804,0.36567309775551426,0.3935014809217735,0.4141666191840198,0.29857201918236087
22,-0.03305452715282633,62,998,561,0.9675840262617056,0.27861630493001466,0.01450139201250232,0.22309240968963617,0.19523204187295934,0.2101626683316875,0.07839518316320197,0.3921936371453782,0.5285990113901348,0.38979743512340786,0.41821189719683666,0.4325166429533598,0.3562685422113456
23,-0.09715026157009753,63,1026,579,0.9942522733438669,0.2808558242547746,0.011221121944357077,0.22412441759884932,0.19281413427226327,0.21240351633226648,0.07858098559749026,0.40805673852486624,0.36100586975499643,0.4055097611721909,0.434856080699867,0.4526857861292528,0.41773984646896445
24,-0.023929692923426265,63,1051,595,0.9942522733438669,0.2825514247770612,0.011051182034155832,0.22447572602165408,0.19650935624292537,0.20724537464828313,0.07816693627592282,0.41566953385448824,0.361281148533633,0.41179422286397005,0.45224538988201585,0.43746652746207865,0.4096550720255195
25,-0.06657890861436022,64,1077,609,1.0216512475319814,0.2849247498187074,0.009077014247419777,0.22420134252173274,0.1930944131451865,0.20560919790935372,0.08309328235760183,0.4016951342541311,0.31927983035884977,0.38735121129002337,0.421787287532388,0.4139337422234453,0.41387512284101097
