iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.002945017794069962,6,61,38,0.06187540371808747,0.2822578897170097,0.01222461908273389,0.22538841304488338,0.19392757694504356,0.2009189980689173,0.08528250314140699,0.17141725194975083,0.16493112151781963,0.17099207513450682,0.17220701343950043,0.16150133671126976,0.18034277698094356
2,0.03312087679396413,13,115,73,0.13926206733350766,0.28184467421072223,0.012219583126408726,0.2236584912110597,0.19792409215857165,0.21101750704224262,0.07333565225099614,0.2184346790113695,0.1947462724257373,0.21620443005871354,0.2234823093492142,0.22613566709584007,0.17940674346170377
3,0.0010992437201401706,19,172,108,0.2107210313156526,0.2822787025575751,0.011513962992595985,0.22748996900208301,0.19550977571488723,0.2164864992973625,0.06672109043549777,0.2714456877964372,0.21711746970678544,0.28243734711861396,0.2707975910819734,0.28244429263090126,0.19954632435175726
4,0.011614458550283176,25,227,136,0.2876820724517809,0.28274150451516744,0.011345364123067704,0.22828661915522103,0.19266441727513026,0.21556932044935576,0.06939277448205936,0.3237350340435443,0.272467568504773,0.32647772661076363,0.3219425733141752,0.3432844392914488,0.24687143291004465
5,-0.007342961477407955,28,282,167,0.3285040669720361,0.28498611768437027,0.011837614508909773,0.22611862616322911,0.1952785098091541,0.21072019339221748,0.07105893844212062,0.3561859517439694,0.28357652460017685,0.35252856968842705,0.35886845731554157,0.3726922442424086,0.27427182109653725
6,0.06253263637495737,33,327,190,0.40047756659712536,0.2836145741447332,0.01258552001614057,0.22229618942683782,0.19764551178709394,0.2109010704320648,0.07295713419313084,0.39952102686934343,0.36163909896417484,0.3963187274463814,0.4123905776953645,0.4299509925825702,0.337979347898438
7,0.011828201201521546,36,376,211,0.44628710262841953,0.28707752727943425,0.01298157044813479,0.2225438699158886,0.1995139783634543,0.20428975020533166,0.07359330378775684,0.4219870865650554,0.3881502023360525,0.427192452167645,0.4305417906138624,0.4251039186055898,0.3582378868936007
8,0.11335034779123757,38,422,234,0.4780358009429998,0.2866044563070059,0.01188403291234052,0.22051646934144917,0.19871066532001835,0.20559328902723692,0.07669108709194918,0.45240644942997565,0.390107970750004,0.46260322002102106,0.46727081030170653,0.4555273853296102,0.4077120500390343
9,0.022387777832560282,39,468,256,0.49429632181478017,0.2840919129454033,0.012447942017554184,0.21903025527540138,0.19622069742849046,0.20722033554350475,0.08098885678964639,0.46217214275180374,0.41113530634260614,0.46582429985598145,0.47936582380121534,0.49351212665569927,0.4647019521274815
10,0.10929396305897303,44,510,275,0.5798184952529422,0.2834947747566816,0.01353989534197524,0.22382073390091894,0.20082328908385474,0.20432124534084828,0.07400006157572309,0.43645345038152733,0.5207751909692515,0.44830696904139644,0.4578764213713257,0.4496877728637712,0.38050944323160707
11,0.12813766743885913,46,551,297,0.616186139423817,0.28118832823264844,0.014313680510236694,0.22205916679927737,0.19925449165308695,0.20682920832254958,0.07635512448220072,0.40574105197478444,0.48570004445138076,0.4112989152096306,0.41338079777491293,0.4218026410643976,0.3821712144834135
12,0.0767168394498881,48,591,313,0.6539264674066639,0.2819884208914218,0.013606001175304546,0.2253196391596036,0.20077470231432282,0.20617274279014083,0.07213849366920831,0.3932219301744307,0.45008247789612416,0.40656645959441606,0.40429399034661506,0.3976269646148387,0.31686524414555783
13,0.0725897277692201,48,629,331,0.6539264674066639,0.2872658592095777,0.01371648555261502,0.22537874078962708,0.1982481002976416,0.20541641120103868,0.06997440294950075,0.41060708036923427,0.4963328475128001,0.4208087297001444,0.4127761683642195,0.4168796191957409,0.306612001654252
14,0.02081935767667409,52,668,351,0.7339691750802005,0.28763147613485424,0.01110945680294057,0.22717356910584233,0.19390114632152838,0.20789186535525123,0.0722924862795863,0.40786780422690494,0.3463899639488217,0.41255250010186056,0.397710953187474,0.4264942779579726,0.31389267628234785
