iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
11,-0.09870284776791588,1,223,261,0.02020270731751945,0.20383130348718215,0.1914990497193967,0.22536577052570278,0.167725216168856,0.2115786600988633,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
12,-0.20122368065293322,1,245,282,0.02020270731751945,0.20383130348718217,0.19149904971939682,0.22536577052570284,0.16772521616885608,0.21157866009886322,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
13,-0.052997708360914934,2,265,304,0.04082199452025513,0.2053109166227581,0.19101532259885368,0.2255111860129325,0.16611964383118522,0.21204293093427862,0.2550459854093703,0.2550459854093703,0.2550459854093703,0.2550459854093703,0.2550459854093703
14,-0.12838290567334057,3,284,326,0.06187540371808747,0.20361353484470207,0.19088284931746946,0.22518114981484832,0.16268443150024814,0.21763803452274316,0.2550116034527476,0.2550116034527476,0.2550116034527476,0.2550116034527476,0.2550116034527476
15,-0.12206491341054239,3,301,346,0.06187540371808747,0.2039663487411862,0.19083601145346452,0.22537767492447597,0.16234617108789215,0.21747379379299403,0.251435790446717,0.251435790446717,0.251435790446717,0.251435790446717,0.251435790446717
16,-0.12359201994014224,4,321,367,0.08338160893905106,0.1976691460452605,0.19097110634831788,0.22201304889739132,0.169247145033856,0.2200995536751833,0.2761668366742374,0.2761668366742374,0.2761668366742374,0.2761668366742374,0.2761668366742374
17,-0.08966521703727695,4,339,390,0.08338160893905106,0.1977810039751062,0.19072848575783682,0.22375476698872357,0.16813663734030673,0.21959910593803567,0.28644822639644424,0.28644822639644424,0.28644822639644424,0.28644822639644424,0.28644822639644424
18,-0.12201371198906172,4,359,413,0.08338160893905106,0.19772325037591534,0.19090339868653233,0.2231553405010303,0.16774057758735902,0.2204774328491754,0.29763258953582894,0.29763258953582894,0.29763258953582894,0.29763258953582894,0.29763258953582894
19,-0.12479009512422329,4,379,435,0.08338160893905106,0.19800994764810267,0.19091596572424163,0.22305298669843673,0.16801646387317906,0.2200046360560487,0.2980230423296828,0.2980230423296828,0.2980230423296828,0.2980230423296828,0.2980230423296828
20,-0.12030614922053834,4,400,458,0.08338160893905106,0.198490186397272,0.19064959250054112,0.22269788045743014,0.16856309822213236,0.21959924242263143,0.306182661918379,0.306182661918379,0.306182661918379,0.306182661918379,0.306182661918379
21,-0.1066221566766858,4,418,481,0.08338160893905106,0.1997963131372345,0.19071314660434538,0.22223560664423467,0.1698181198880991,0.2174368137260968,0.3199278399526941,0.3199278399526941,0.3199278399526941,0.3199278399526941,0.3199278399526941
22,-0.10024121370269772,4,437,506,0.08338160893905106,0.19930923660756808,0.1909919771437185,0.22260130544946793,0.16926115493674093,0.21783632586251536,0.3107258774742869,0.3107258774742869,0.3107258774742869,0.3107258774742869,0.3107258774742869
