iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
42,0.002145179491818776,87,1717,1854,2.0402208285265546,0.19999939889683996,0.20097121833003112,0.200460077760547,0.1988609853314489,0.19970831968113564,0.43179679955994343,0.43179679955994343,0.43179679955994343,0.43179679955994343,0.43179679955994343
43,0.03708278117573496,89,1728,1865,2.207274913189721,0.20015943208837136,0.20107151019554823,0.20025529141363596,0.1990302948137135,0.19948347148873494,0.41026639289304456,0.41026639289304456,0.41026639289304456,0.41026639289304456,0.41026639289304456
44,0.05364353618330982,89,1739,1875,2.207274913189721,0.200147140809854,0.2010281924986808,0.20035963959960995,0.19892135207181996,0.19954367502003803,0.41980528887966734,0.41980528887966734,0.41980528887966734,0.41980528887966734,0.41980528887966734
45,0.11309231270427242,89,1750,1885,2.207274913189721,0.20016436329891626,0.2008991009463183,0.2003284911417168,0.19919783406715774,0.19941021054588917,0.4027493240519812,0.4027493240519812,0.4027493240519812,0.4027493240519812,0.4027493240519812
46,0.1296086940498947,89,1761,1896,2.207274913189721,0.19989940275584042,0.2008084436723486,0.20040795329425473,0.19940392751884592,0.19948027275870964,0.3979573449152542,0.3979573449152542,0.3979573449152542,0.3979573449152542,0.3979573449152542
47,0.09532117933156321,90,1771,1906,2.302585092994046,0.19977031910753268,0.2006890422349911,0.2005251499197214,0.19940228409051683,0.19961320464723878,0.4011833071855496,0.4011833071855496,0.4011833071855496,0.4011833071855496,0.4011833071855496
48,0.1275312882901706,90,1781,1916,2.302585092994046,0.19988063308230292,0.20069081160255217,0.20052932177301158,0.1993076169337107,0.19959161660842226,0.4162158782849225,0.4162158782849225,0.4162158782849225,0.4162158782849225,0.4162158782849225
49,0.08441158010797385,90,1791,1926,2.302585092994046,0.19997685423329814,0.20078649638397003,0.20061702890926944,0.19919656712579947,0.19942305334766244,0.41854637889494417,0.41854637889494417,0.41854637889494417,0.41854637889494417,0.41854637889494417
50,0.05755138203347466,90,1801,1936,2.302585092994046,0.1996084835142636,0.20098945119295372,0.20085277087379616,0.19916488451767264,0.1993844099013113,0.42111658332671564,0.42111658332671564,0.42111658332671564,0.42111658332671564,0.42111658332671564
51,-0.001625612733819144,91,1810,1945,2.4079456086518722,0.1992011032702072,0.2009198189825553,0.20104733539007083,0.1992625610482094,0.19956918130895585,0.4389205985749959,0.4389205985749959,0.4389205985749959,0.4389205985749959,0.4389205985749959
52,0.016660170411643912,91,1819,1954,2.4079456086518722,0.19907245822599481,0.20076737007748896,0.20085527087586058,0.19962244359831274,0.19968245722234185,0.46784050743693223,0.46784050743693223,0.46784050743693223,0.46784050743693223,0.46784050743693223
53,-0.04817596400240162,91,1828,1963,2.4079456086518722,0.19874279553378135,0.20073999627490852,0.2010272051092316,0.1996544714588429,0.19983553162323298,0.4598015526125684,0.4598015526125684,0.4598015526125684,0.4598015526125684,0.4598015526125684
54,-0.05985970678315669,91,1837,1972,2.4079456086518722,0.1989842883165458,0.20077069843473483,0.20101004054386837,0.19932492336108956,0.1999100493437598,0.48179884616517826,0.48179884616517826,0.48179884616517826,0.48179884616517826,0.48179884616517826
55,-0.10627351936076596,92,1845,1980,2.525728644308256,0.1990745278781195,0.2008525231084078,0.20085252310840784,0.199231392751811,0.1999890331532547,0.4887276381177398,0.4887276381177398,0.4887276381177398,0.4887276381177398,0.4887276381177398
56,-0.0917938146032523,93,1852,1987,2.659260036932779,0.19904467167021828,0.20122416902314685,0.20081339712068086,0.19891706675674878,0.2000006954292024,0.49503828366764363,0.49503828366764363,0.49503828366764363,0.49503828366764363,0.49503828366764363
57,-0.08595715755123623,93,1859,1994,2.659260036932779,0.19888401031767758,0.20127753622978628,0.2006721597042544,0.19913894500381962,0.20002734874445888,0.4782446970842927,0.4782446970842927,0.4782446970842927,0.4782446970842927,0.4782446970842927
58,-0.06625629278909222,94,1865,2000,2.8134107167600355,0.198666001422739,0.20139354654581473,0.20049732617360702,0.19930821984851008,0.20013490600932865,0.45718773845554517,0.45718773845554517,0.45718773845554517,0.45718773845554517,0.45718773845554517
59,-0.12000517913082812,94,1870,2006,2.8134107167600355,0.1986634467538273,0.20120017309772276,0.2004883170765357,0.1992361307494797,0.2004119323224353,0.4610268545929933,0.4610268545929933,0.4610268545929933,0.4610268545929933,0.4610268545929933
60,-0.05562689006254388,94,1876,2012,2.8134107167600355,0.19871997977819095,0.20115091302843216,0.20051807244395703,0.19909933655318873,0.20051169819622938,0.47577004182679633,0.47577004182679633,0.47577004182679633,0.47577004182679633,0.47577004182679633
61,-0.12293326867812199,96,1880,2016,3.2188758248681997,0.19875497899711347,0.2012888818210856,0.20057096811574385,0.19906905753374068,0.20031611353231618,0.46088481650165014,0.46088481650165014,0.46088481650165014,0.46088481650165014,0.46088481650165014
62,-0.033831514472917205,96,1884,2020,3.2188758248681997,0.1991195317887653,0.20125302905208828,0.2004085695300898,0.19899521633246461,0.2002236532965924,0.4497415695170925,0.4497415695170925,0.4497415695170925,0.4497415695170925,0.4497415695170925
