iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
12,-0.181030296536251,36,895,437,0.44628710262841953,0.25115465402876974,0.2489023599184407,0.25135081323658715,0.2485921728162001,0.31726896058191184,0.31726896058191184,0.31726896058191184,0.31726896058191184
13,-0.15882629306645896,38,957,470,0.4780358009429998,0.25219432026795563,0.24890770583915128,0.251697093180695,0.24720088071219531,0.33875566107371047,0.33875566107371047,0.33875566107371047,0.33875566107371047
14,-0.2246628924366055,40,1017,502,0.5108256237659907,0.251754131241045,0.2478247892870803,0.2521079781395988,0.24831310133227447,0.32971815639353813,0.32971815639353813,0.32971815639353813,0.32971815639353813
15,-0.17720750191903403,42,1075,534,0.5447271754416719,0.2513796106164441,0.24626546962138787,0.2515134671806283,0.2508414525815393,0.31433266945786403,0.31433266945786403,0.31433266945786403,0.31433266945786403
16,-0.2000300129435348,43,1132,564,0.5621189181535412,0.2516261069258187,0.24777204969133443,0.24827134578326265,0.25233049759958304,0.2972466955161447,0.2972466955161447,0.2972466955161447,0.2972466955161447
17,-0.18495195146461071,46,1186,594,0.616186139423817,0.2532491895643215,0.24857613472442372,0.24693018958172486,0.25124448612953054,0.3149094310096245,0.3149094310096245,0.3149094310096245,0.3149094310096245
18,-0.189048886884047,46,1240,623,0.616186139423817,0.2519103760749574,0.2508442972144002,0.24739407349169606,0.2498512532189468,0.3217375199299536,0.3217375199299536,0.3217375199299536,0.3217375199299536
19,-0.0817258504334103,48,1292,652,0.6539264674066639,0.2507001790638796,0.2510190548199882,0.2490597561282732,0.24922100998786012,0.3341800437719137,0.3341800437719137,0.3341800437719137,0.3341800437719137
20,-0.1373490810169199,49,1343,681,0.6733445532637655,0.2513264283739292,0.2506856190848708,0.2501783526695383,0.24780959987165926,0.36656573480578974,0.36656573480578974,0.36656573480578974,0.36656573480578974
21,-0.038261318019283695,51,1392,709,0.7133498878774648,0.2518417125509613,0.25123977029180006,0.24971640656396785,0.24720211059327216,0.3935186681790135,0.3935186681790135,0.3935186681790135,0.3935186681790135
22,-0.09487996253202699,51,1441,736,0.7133498878774648,0.25207189473500574,0.2533285384323535,0.24822335804506218,0.24637620878757702,0.4110920899064679,0.4110920899064679,0.4110920899064679,0.4110920899064679
23,-0.09178258411862206,52,1489,763,0.7339691750802005,0.2534259711891477,0.2511952778509197,0.24907935882434035,0.24629939213559313,0.4226528549125382,0.4226528549125382,0.4226528549125382,0.4226528549125382
24,-0.12848950355159086,53,1536,789,0.7550225842780328,0.2525363038318993,0.2506406042226966,0.24978651439684185,0.24703657754856528,0.4199515721409604,0.4199515721409604,0.4199515721409604,0.4199515721409604
25,-0.05628455693937224,54,1582,816,0.7765287894989964,0.2518014445543229,0.24981331610605315,0.24980616737143885,0.24857907196818696,0.4280290108849714,0.4280290108849714,0.4280290108849714,0.4280290108849714
