iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
17,-0.29979144261672214,21,382,216,0.7444404749474959,0.2520186442636774,0.247980014917746,0.250973675732039,0.24902766508653879,0.4211481415683702,0.4211481415683702,0.4211481415683702,0.4211481415683702
18,-0.1683724575898254,21,401,223,0.7444404749474959,0.2508971949415045,0.24973377915037903,0.2508293635872638,0.24853966232085056,0.3616572176473042,0.3616572176473042,0.3616572176473042,0.3616572176473042
19,-0.24621551990413643,21,418,229,0.7444404749474959,0.2509694704653018,0.25213561084135244,0.25037773969035326,0.24651717900299494,0.35451453002343947,0.35451453002343947,0.35451453002343947,0.35451453002343947
20,-0.22858176849392206,21,436,236,0.7444404749474959,0.2529889718032835,0.25189181193705207,0.2493368086358158,0.2457824076238492,0.37199767113028415,0.37199767113028415,0.37199767113028415,0.37199767113028415
21,-0.27478875379195317,23,450,240,0.8556661100577202,0.2519840638290626,0.25376445757054866,0.24859694926381184,0.24565452933657944,0.3683750366204582,0.3683750366204582,0.3683750366204582,0.3683750366204582
22,-0.24512697728701177,23,467,246,0.8556661100577202,0.2510626572394956,0.2537538520261335,0.24914724810888147,0.24603624262549278,0.3506136291816714,0.3506136291816714,0.3506136291816714,0.3506136291816714
23,-0.2512732441162684,23,482,252,0.8556661100577202,0.2541661216862934,0.2536068354475665,0.24980635131774456,0.24242069154839652,0.3186229270370531,0.3186229270370531,0.3186229270370531,0.3186229270370531
24,-0.20959798103194602,23,498,257,0.8556661100577202,0.2535785811747196,0.2565635610569595,0.2462836079795273,0.24357424978879347,0.29646657322819076,0.29646657322819076,0.29646657322819076,0.29646657322819076
25,-0.22060206488068115,23,512,261,0.8556661100577202,0.25300922522897706,0.255839934889793,0.24804537620445466,0.2431054636767771,0.3112454937120525,0.3112454937120525,0.3112454937120525,0.3112454937120525
26,-0.14981867820183917,24,527,264,0.916290731874155,0.2574241845232553,0.2503621614197042,0.24602404935439728,0.24618960470264317,0.31649795943240816,0.31649795943240816,0.31649795943240816,0.31649795943240816
27,-0.13052739328171287,24,542,267,0.916290731874155,0.25490252988979145,0.2538765195122564,0.2472517384801452,0.24396921211780728,0.30662321120546027,0.30662321120546027,0.30662321120546027,0.30662321120546027
28,-0.08828631190630146,25,556,271,0.9808292530117263,0.25573103378583684,0.2512316240259229,0.2480706445138036,0.24496669767443782,0.30710732445405764,0.30710732445405764,0.30710732445405764,0.30710732445405764
29,-0.11853616507532569,25,569,276,0.9808292530117263,0.2524616668377616,0.2528526018584995,0.2480272251013249,0.2466585062024184,0.27953993765079155,0.27953993765079155,0.27953993765079155,0.27953993765079155
30,-0.10859311840859562,25,580,279,0.9808292530117263,0.2556882560811073,0.24415166586212272,0.2501078756767687,0.25005220238000464,0.33842753125603753,0.33842753125603753,0.33842753125603753,0.33842753125603753
31,-0.05674187018622774,26,593,282,1.0498221244986778,0.2566523710807543,0.24493377815431194,0.24786511228212488,0.2505487384828106,0.3670593668615543,0.3670593668615543,0.3670593668615543,0.3670593668615543
32,-0.02006177052476021,26,606,285,1.0498221244986778,0.2558361796310311,0.24741461176214274,0.24679381633367425,0.2499553922731552,0.407353845964968,0.407353845964968,0.407353845964968,0.407353845964968
33,-0.06500039861183589,26,619,289,1.0498221244986778,0.2552683137853434,0.24699422758496808,0.25029563641130786,0.24744182221838357,0.40405203319261107,0.40405203319261107,0.40405203319261107,0.40405203319261107
34,0.022622583628427066,26,632,291,1.0498221244986778,0.2553750840531602,0.24900160451280834,0.25539656406966255,0.24022674736437274,0.42273506361481067,0.42273506361481067,0.42273506361481067,0.42273506361481067
35,0.11403267338051792,27,644,294,1.1239300966523997,0.25221204237119815,0.254044951530602,0.25184880883009814,0.24189419726810557,0.42345244081429284,0.42345244081429284,0.42345244081429284,0.42345244081429284
36,0.07688818605434607,28,655,297,1.203972804325936,0.2517074338447562,0.25313838220865226,0.257023740393985,0.23813044355260904,0.39234923169756614,0.39234923169756614,0.39234923169756614,0.39234923169756614
37,0.04256467314400235,28,666,300,1.203972804325936,0.2521725013409128,0.25138244901710405,0.2537499132675462,0.24269513637443807,0.3764668374508282,0.3764668374508282,0.3764668374508282,0.3764668374508282
38,-0.007461225171954253,28,677,301,1.203972804325936,0.2531931011826558,0.24643689065805363,0.25563396705701746,0.24473604110227482,0.3794751650688488,0.3794751650688488,0.3794751650688488,0.3794751650688488
39,-0.03691874672133046,28,686,302,1.203972804325936,0.25451378044946144,0.24691776076074506,0.2527111644406441,0.24585729434915018,0.3901414168447635,0.3901414168447635,0.3901414168447635,0.3901414168447635
40,0.0323198769224373,30,694,304,1.3862943611198906,0.2505358334646018,0.2503228052259678,0.2538590083238261,0.24528235298560547,0.38070410473714145,0.38070410473714145,0.38070410473714145,0.38070410473714145
41,0.12224591630449164,30,702,306,1.3862943611198906,0.2490038709696579,0.25111974258144326,0.25251572405437545,0.2473606623945254,0.39256548358346177,0.39256548358346177,0.39256548358346177,0.39256548358346177
42,0.060391455879716914,30,711,310,1.3862943611198906,0.24989847852664077,0.2507199904744967,0.24989740369358635,0.2494841273052767,0.3648804006797829,0.3648804006797829,0.3648804006797829,0.3648804006797829
43,0.07363361301910928,30,721,313,1.3862943611198906,0.25297398103371954,0.24811905898057668,0.25112997956595684,0.24777698041974916,0.3762016250754401,0.3762016250754401,0.3762016250754401,0.3762016250754401
44,0.029250449008691642,32,728,316,1.6094379124341005,0.2513920917554643,0.24950195906392555,0.2549152089944299,0.2441907401861812,0.32596349909727573,0.32596349909727573,0.32596349909727573,0.32596349909727573
45,0.044579045501363906,32,735,319,1.6094379124341005,0.25199973989022306,0.24834098946887126,0.2530167287310562,0.24664254190985024,0.3309727927746293,0.3309727927746293,0.3309727927746293,0.3309727927746293
46,0.012718507568469617,33,742,322,1.7429693050586228,0.25084799915449885,0.2528556213081449,0.2509469597447727,0.2453494197925841,0.356805087733853,0.356805087733853,0.356805087733853,0.356805087733853
47,0.03601462246528636,33,747,324,1.7429693050586228,0.24850186190711665,0.2523309671396021,0.2536603104886673,0.2455068604646135,0.43594602619446027,0.43594602619446027,0.43594602619446027,0.43594602619446027
48,-0.023561442168066625,34,752,328,1.8971199848858813,0.24954133582142296,0.25357577533492043,0.25129982474066725,0.2455830641029883,0.5059981769076013,0.5059981769076013,0.5059981769076013,0.5059981769076013
49,-0.012614278674266344,34,756,330,1.8971199848858813,0.2463342068853347,0.2521917854306425,0.2522151491710017,0.24925885851302026,0.4940361665391953,0.4940361665391953,0.4940361665391953,0.4940361665391953
50,-0.04808446152648376,34,761,333,1.8971199848858813,0.2469645050061776,0.25036870919936605,0.25067262679365937,0.25199415900079536,0.43829117523263644,0.43829117523263644,0.43829117523263644,0.43829117523263644
