iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
14,0.04395171276122074,17,217,162,0.5533852381847867,0.25145922408963534,0.24828953546525784,0.24067474699480124,0.2595764934503061,0.4183263346604773,0.4183263346604773,0.4183263346604773,0.4183263346604773
15,0.10529121845871443,19,228,168,0.6443570163905132,0.24549428823511305,0.24995503604920918,0.24319718651194525,0.26135348920373336,0.40383400703216793,0.40383400703216793,0.40383400703216793,0.40383400703216793
16,0.03783758212874397,19,236,177,0.6443570163905132,0.2459947661809536,0.2530648288689266,0.24467060044091746,0.25626980450920334,0.39934314059003545,0.39934314059003545,0.39934314059003545,0.39934314059003545
17,0.007320972888303495,22,245,185,0.7985076962177717,0.24418305468425694,0.25348632082797046,0.24687784653550865,0.2554527779522666,0.3676780364577416,0.3676780364577416,0.3676780364577416,0.3676780364577416
18,-0.027821427543889683,23,252,191,0.8556661100577202,0.24178792975259522,0.24776642914821964,0.2514035924270955,0.25904204867209224,0.353636512848557,0.353636512848557,0.353636512848557,0.353636512848557
19,-0.053888152943701896,24,261,197,0.916290731874155,0.24308693088772512,0.24720201313798848,0.2523198032170078,0.25739125275727853,0.38500461870615504,0.38500461870615504,0.38500461870615504,0.38500461870615504
20,-0.024511727598218118,26,271,203,1.0498221244986778,0.24285875750444907,0.24427685863199383,0.25386921824420294,0.25899516561935737,0.4012218311127861,0.4012218311127861,0.4012218311127861,0.4012218311127861
21,0.011562966774167986,26,279,208,1.0498221244986778,0.24020709290150397,0.24676901983233043,0.25366279802142105,0.25936108924474877,0.4053978196044791,0.4053978196044791,0.4053978196044791,0.4053978196044791
22,0.009397854992609842,26,289,213,1.0498221244986778,0.23940298272322308,0.24806597905252098,0.2549364599298407,0.25759457829441623,0.40137760470529626,0.40137760470529626,0.40137760470529626,0.40137760470529626
23,-0.04363385286259497,26,300,220,1.0498221244986778,0.24357095590884462,0.24998506526631978,0.2534490277824476,0.25299495104238795,0.3897387804528875,0.3897387804528875,0.3897387804528875,0.3897387804528875
24,0.03333665558527964,27,307,225,1.1239300966523997,0.2414283261565377,0.2514256341836809,0.2538723864175298,0.2532736532422533,0.35312544518684685,0.35312544518684685,0.35312544518684685,0.35312544518684685
25,0.042168717395442736,27,314,229,1.1239300966523997,0.2423659261929242,0.2502495020846076,0.2554780317078313,0.2519065400146354,0.3760535882373059,0.3760535882373059,0.3760535882373059,0.3760535882373059
26,-0.004465955441757452,27,320,234,1.1239300966523997,0.24582471952826399,0.25350263407275714,0.25243678969756034,0.24823585670141773,0.3877641574173393,0.3877641574173393,0.3877641574173393,0.3877641574173393
27,0.003043003521245635,27,327,238,1.1239300966523997,0.24538377128987118,0.25354200659530657,0.25446609519410907,0.24660812692071432,0.4007525433566813,0.4007525433566813,0.4007525433566813,0.4007525433566813
28,-0.06583761244793924,28,332,243,1.203972804325936,0.24664136327280625,0.2505839525374741,0.25582313672748647,0.24695154746223244,0.43964546440924923,0.43964546440924923,0.43964546440924923,0.43964546440924923
29,0.0039720997935940115,28,338,247,1.203972804325936,0.2538102262071519,0.24659653184370192,0.251860862839414,0.24773237910973403,0.3982235281131723,0.3982235281131723,0.3982235281131723,0.3982235281131723
30,-0.12615730531000885,28,344,254,1.203972804325936,0.255192049028143,0.24618411280804314,0.2503866476532612,0.24823719051055276,0.40236713728783985,0.40236713728783985,0.40236713728783985,0.40236713728783985
31,-0.02005711375950626,28,351,260,1.203972804325936,0.25333479451563745,0.245077643945107,0.2506439694205445,0.25094359211871314,0.3950328245752873,0.3950328245752873,0.3950328245752873,0.3950328245752873
32,-0.1562357025974753,30,356,264,1.3862943611198906,0.2520242928490082,0.24708389265971453,0.25351002353334495,0.24738179095793314,0.42175022788017313,0.42175022788017313,0.42175022788017313,0.42175022788017313
33,-0.1631963598458029,31,362,268,1.4916548767777171,0.24792354273309405,0.24800945568087812,0.25302249020988593,0.2510445113761406,0.46013815860226626,0.46013815860226626,0.46013815860226626,0.46013815860226626
34,-0.13963897686217006,31,368,270,1.4916548767777171,0.2489485980172073,0.24843397534404002,0.2550468383596117,0.2475705882791397,0.41277360401266433,0.41277360401266433,0.41277360401266433,0.41277360401266433
35,-0.15689184936353354,32,371,273,1.6094379124341005,0.24552189390697263,0.2506748447570203,0.2542174078539844,0.24958585348202078,0.39840316511939716,0.39840316511939716,0.39840316511939716,0.39840316511939716
