iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
16,0.001734090502751249,38,200,485,0.4780358009429998,0.2511796436113629,0.25027256588382724,0.2488434827546895,0.24970430775011918,0.45644064032277687,0.45644064032277687,0.45644064032277687,0.45644064032277687
17,-0.0036812259109736626,41,208,508,0.5276327420823718,0.24872144581048056,0.25094090686327325,0.24949806941579192,0.25083957791045425,0.46898861092852995,0.46898861092852995,0.46898861092852995,0.46898861092852995
18,0.000537102667380896,41,216,531,0.5276327420823718,0.24757744638903117,0.25208205835996034,0.2498633191096328,0.2504771761413747,0.4625576006478001,0.4625576006478001,0.4625576006478001,0.4625576006478001
19,0.01258073607626501,41,227,553,0.5276327420823718,0.24868148817624652,0.25006728353022073,0.25054523861122274,0.25070598968230706,0.4497445053582229,0.4497445053582229,0.4497445053582229,0.4497445053582229
20,0.01739569121811427,44,235,573,0.5798184952529422,0.2487773435751546,0.25028661116078516,0.24969890681370727,0.251237138450351,0.44967502169831186,0.44967502169831186,0.44967502169831186,0.44967502169831186
21,-0.017527610577171504,46,245,598,0.616186139423817,0.24823603850965614,0.2490361220836568,0.2504712429973532,0.25225659640933074,0.4366107661233519,0.4366107661233519,0.4366107661233519,0.4366107661233519
22,-0.004785677217730734,46,253,622,0.616186139423817,0.24814205774152692,0.2505681202993839,0.2511265719739143,0.25016324998517375,0.4378969254395396,0.4378969254395396,0.4378969254395396,0.4378969254395396
23,0.03764390034510547,46,263,646,0.616186139423817,0.24667588111102978,0.25294747981725213,0.2503971788654527,0.24997946020626244,0.433365107539608,0.433365107539608,0.433365107539608,0.433365107539608
24,-0.0674552026818451,46,278,668,0.616186139423817,0.24611928550923848,0.25192052328462217,0.2513349173569953,0.2506252738491407,0.43397118310172217,0.43397118310172217,0.43397118310172217,0.43397118310172217
25,0.10487942325570637,46,287,689,0.616186139423817,0.24737388835949578,0.2524418872871862,0.25179726400631036,0.24838696034700591,0.39249369061279094,0.39249369061279094,0.39249369061279094,0.39249369061279094
26,0.06202400648979469,46,297,708,0.616186139423817,0.2463774276053284,0.25275050910093294,0.2515780667972296,0.24929399649650855,0.41263719281502437,0.41263719281502437,0.41263719281502437,0.41263719281502437
27,0.10774864665655297,48,306,734,0.6539264674066639,0.24993253634280768,0.25126519505925726,0.25039386670640185,0.24840840189152893,0.37966840297599774,0.37966840297599774,0.37966840297599774,0.37966840297599774
28,0.10163002051296749,48,318,760,0.6539264674066639,0.24914355634375168,0.25167191303336583,0.2513611862964553,0.24782334432642752,0.37748084437819335,0.37748084437819335,0.37748084437819335,0.37748084437819335
29,0.15010757189313487,49,333,785,0.6733445532637655,0.24957824119274874,0.2504344233026428,0.25024622052956247,0.2497411149750462,0.40397793872336757,0.40397793872336757,0.40397793872336757,0.40397793872336757
30,0.0835633455770378,49,346,808,0.6733445532637655,0.2502235634369371,0.25184642333711554,0.25043648783208167,0.24749352539386474,0.3988155034390221,0.3988155034390221,0.3988155034390221,0.3988155034390221
31,0.11959333445986267,51,356,827,0.7133498878774648,0.24993538941652013,0.24813685983971703,0.253350250513865,0.2485775002298928,0.42987201735901015,0.42987201735901015,0.42987201735901015,0.42987201735901015
32,0.07074836715218179,53,364,847,0.7550225842780328,0.24937507731410616,0.24867710908706023,0.25308773517879646,0.24886007842003074,0.40090739910851986,0.40090739910851986,0.40090739910851986,0.40090739910851986
33,0.176178035451321,54,376,867,0.7765287894989964,0.24851978872917935,0.24791412239441976,0.253500576379479,0.25006551249691766,0.42235325413877456,0.42235325413877456,0.42235325413877456,0.42235325413877456
34,0.07152574388643405,55,384,890,0.7985076962177717,0.2471602127822087,0.24867100642083936,0.2545893607191738,0.24957942007777653,0.41031754890184036,0.41031754890184036,0.41031754890184036,0.41031754890184036
35,0.18244063080203493,55,395,914,0.7985076962177717,0.24851936735513674,0.24733934591311676,0.25437483008035777,0.24976645665138705,0.44710799788305566,0.44710799788305566,0.44710799788305566,0.44710799788305566
36,0.06854593881887353,55,402,937,0.7985076962177717,0.24899123045848104,0.2479718044099976,0.2539803538796172,0.24905661125190431,0.48133501922818,0.48133501922818,0.48133501922818,0.48133501922818
37,0.12269442193686601,57,407,954,0.8439700702945289,0.2500873516298833,0.24759519629124038,0.2541053949759293,0.24821205710294575,0.4625790633729537,0.4625790633729537,0.4625790633729537,0.4625790633729537
38,0.09801242139702226,58,413,970,0.867500567704723,0.2480942196798547,0.24870843390590103,0.25477035272124227,0.24842699369300214,0.42342880330483196,0.42342880330483196,0.42342880330483196,0.42342880330483196
