iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
37,0.16575395058929676,30,628,526,0.916290731874155,0.19162149595446032,0.19088361846269974,0.2161537516365496,0.1988561040747304,0.20248502987155897,0.3191255537850788,0.3191255537850788,0.3191255537850788,0.3191255537850788,0.3191255537850788
38,0.21263674353889864,30,642,540,0.916290731874155,0.1974214271730998,0.19804281459535056,0.20630698156595226,0.19930634663508645,0.19892243003051244,0.3560764667329188,0.3560764667329188,0.3560764667329188,0.3560764667329188,0.3560764667329188
39,0.27192757258988953,30,656,554,0.916290731874155,0.1972502584568269,0.19091489893875369,0.21180441633176603,0.20092319173948642,0.19910723453316528,0.353437128755117,0.353437128755117,0.353437128755117,0.353437128755117,0.353437128755117
40,0.263270722412727,30,670,566,0.916290731874155,0.19520087477006384,0.19448216492949977,0.2103034339602287,0.1973714065839559,0.20264211975625132,0.3651902277037527,0.3651902277037527,0.3651902277037527,0.3651902277037527,0.3651902277037527
41,0.31800538394591277,30,683,578,0.916290731874155,0.1959976165206032,0.18965282439528397,0.2132298256952588,0.197836024841663,0.2032837085471909,0.3904105633289819,0.3904105633289819,0.3904105633289819,0.3904105633289819,0.3904105633289819
42,0.2381616064998301,30,700,591,0.916290731874155,0.1955301152538525,0.19068796250406994,0.21251748178436436,0.19704026685701456,0.20422417360069905,0.3969546003169411,0.3969546003169411,0.3969546003169411,0.3969546003169411,0.3969546003169411
43,0.38076777722280647,30,715,602,0.916290731874155,0.1953017270820097,0.1876846423351877,0.2135284260404967,0.19793609392403996,0.20554911061826467,0.40289455993917733,0.40289455993917733,0.40289455993917733,0.40289455993917733,0.40289455993917733
44,0.23866676321042377,30,730,614,0.916290731874155,0.19626466933562858,0.19163750107581848,0.21475736644135707,0.19818296119442563,0.19915750195276885,0.3347137027648476,0.3347137027648476,0.3347137027648476,0.3347137027648476,0.3347137027648476
45,0.2583011624610535,30,746,628,0.916290731874155,0.19612539955657773,0.19028818695885286,0.2197274814797597,0.20114103478403228,0.19271789722077967,0.36866884665483846,0.36866884665483846,0.36866884665483846,0.36866884665483846,0.36866884665483846
46,0.20258077526538623,30,761,643,0.916290731874155,0.19803078404852012,0.18767546526976983,0.2201413268102909,0.20172737533993276,0.19242504853148543,0.3546948367299799,0.3546948367299799,0.3546948367299799,0.3546948367299799,0.3546948367299799
47,0.23907555712306588,30,776,657,0.916290731874155,0.19650134327156143,0.19025497546757678,0.22280146253862262,0.20192305381647796,0.18851916490575962,0.35815471725753845,0.35815471725753845,0.35815471725753845,0.35815471725753845,0.35815471725753845
48,0.23642229433363263,30,787,668,0.916290731874155,0.19555459603018643,0.2000021757084133,0.22475258758288721,0.197651171461098,0.18203946921741682,0.31286888408950675,0.31286888408950675,0.31286888408950675,0.31286888408950675,0.31286888408950675
49,0.18127992677937027,30,799,679,0.916290731874155,0.19306378188077752,0.19800156231033106,0.22922482620850865,0.20206038460953457,0.17764944499084517,0.3004528265280576,0.3004528265280576,0.3004528265280576,0.3004528265280576,0.3004528265280576
50,0.2230712955618177,30,810,689,0.916290731874155,0.19192259287958222,0.19970405728199864,0.2312357687619582,0.20293892518734985,0.17419865588911196,0.25889784132955834,0.25889784132955834,0.25889784132955834,0.25889784132955834,0.25889784132955834
51,0.24232603502894512,30,822,700,0.916290731874155,0.19654699135037781,0.19925485780334437,0.22352757122985548,0.20035959947077847,0.18031098014564,0.2522078588141499,0.2522078588141499,0.2522078588141499,0.2522078588141499,0.2522078588141499
52,0.27805366162039374,30,834,712,0.916290731874155,0.2011639094292572,0.19583869666118187,0.21761209680521584,0.20669484555130013,0.17869045155304034,0.2525058596446569,0.2525058596446569,0.2525058596446569,0.2525058596446569,0.2525058596446569
53,0.3522675967621791,30,846,724,0.916290731874155,0.19776466339109286,0.19666537094938213,0.22020146255580755,0.20108193330889176,0.1842865697948249,0.20218121547552373,0.20218121547552373,0.20218121547552373,0.20218121547552373,0.20218121547552373
54,0.2939763283468765,30,859,736,0.916290731874155,0.19551314701505143,0.2003807409596181,0.22539108951895717,0.1992188535658055,0.17949616894056727,0.19138245513739308,0.19138245513739308,0.19138245513739308,0.19138245513739308,0.19138245513739308
55,0.3300963072914218,30,871,747,0.916290731874155,0.20162369231137334,0.20444087972620612,0.21651013313205766,0.19402629693655724,0.18339899789380484,0.25310767089547975,0.25310767089547975,0.25310767089547975,0.25310767089547975,0.25310767089547975
56,0.2416454181854204,30,884,759,0.916290731874155,0.1958273724015929,0.20402942768816645,0.22799924892373719,0.19633041085143646,0.17581354013506773,0.24720819734911537,0.24720819734911537,0.24720819734911537,0.24720819734911537,0.24720819734911537
57,0.2707187964682465,30,899,772,0.916290731874155,0.19969386228575092,0.2058984624566937,0.2233054672842362,0.1927564083163238,0.1783457996569984,0.2404920365272477,0.2404920365272477,0.2404920365272477,0.2404920365272477,0.2404920365272477
58,0.24258974037911257,30,913,786,0.916290731874155,0.21101662875302774,0.19647312211090515,0.21291088323293947,0.17993191615907764,0.19966744974404577,0.2261028159797859,0.2261028159797859,0.2261028159797859,0.2261028159797859,0.2261028159797859
59,0.21122128846400476,30,927,799,0.916290731874155,0.20577663060713786,0.19166574124145463,0.217420562662436,0.18352238600667103,0.20161467948229608,0.23614606291954562,0.23614606291954562,0.23614606291954562,0.23614606291954562,0.23614606291954562
60,0.13360734035212474,30,940,811,0.916290731874155,0.20339634682798732,0.2003312992697538,0.2176271067268044,0.17753567505397447,0.20110957212147884,0.23963930591673907,0.23963930591673907,0.23963930591673907,0.23963930591673907,0.23963930591673907
61,0.23528605626861995,30,953,823,0.916290731874155,0.1993832869930507,0.20209821502542122,0.22088750366795118,0.17076121523739518,0.20686977907618248,0.22391238556597412,0.22391238556597412,0.22391238556597412,0.22391238556597412,0.22391238556597412
62,0.15568574008920133,30,966,836,0.916290731874155,0.19577980502235975,0.20165208749851504,0.22690542041699754,0.1751550561063724,0.20050763095575327,0.23344090997056705,0.23344090997056705,0.23344090997056705,0.23344090997056705,0.23344090997056705
63,0.27960708778222876,30,977,848,0.916290731874155,0.19611120465980236,0.2056897436646557,0.21756939990316712,0.18431502810365208,0.19631462366872302,0.1760056287651164,0.1760056287651164,0.1760056287651164,0.1760056287651164,0.1760056287651164
64,0.1692088934879786,30,990,863,0.916290731874155,0.19843895039737647,0.19699919647378308,0.22858063347524418,0.18816461918080976,0.1878166004727872,0.21846430125246882,0.21846430125246882,0.21846430125246882,0.21846430125246882,0.21846430125246882
65,0.22293404896727453,30,1002,878,0.916290731874155,0.19619622777209966,0.19801665512490982,0.22986725641333383,0.19874230531702342,0.1771775553726337,0.281796846059958,0.281796846059958,0.281796846059958,0.281796846059958,0.281796846059958
66,0.19521665488055276,30,1015,891,0.916290731874155,0.1894982460959932,0.20121955451917803,0.22924540284346043,0.2012878601861604,0.17874893635520642,0.2723751447422214,0.2723751447422214,0.2723751447422214,0.2723751447422214,0.2723751447422214
67,0.25365497770551976,30,1029,904,0.916290731874155,0.19257031385328377,0.20160068197608114,0.22803626040842942,0.20367646984915783,0.17411627391304998,0.2658189223550212,0.2658189223550212,0.2658189223550212,0.2658189223550212,0.2658189223550212
