iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
42,-0.10364740745639173,72,1270,898,1.2729656758128873,0.16585066741168378,0.16915601655335083,0.16323637835786303,0.16575736980809117,0.16769127024419497,0.16830829762481825,0.36449495604027426,0.36449495604027426,0.36449495604027426,0.36449495604027426,0.36449495604027426,0.36449495604027426
43,-0.1358745917023327,72,1292,912,1.2729656758128873,0.16676921127669328,0.16903485954792546,0.16405724767704274,0.16414004114054864,0.16774206626717508,0.16825657409061992,0.3894361788366643,0.3894361788366643,0.3894361788366643,0.3894361788366643,0.3894361788366643,0.3894361788366643
44,-0.11421920103436259,72,1313,926,1.2729656758128873,0.16601111197304846,0.1675316774205926,0.163744051740902,0.16540390158012105,0.1706695191177013,0.16663973816763505,0.4026486244229164,0.4026486244229164,0.4026486244229164,0.4026486244229164,0.4026486244229164,0.4026486244229164
45,-0.08203214717393155,72,1333,940,1.2729656758128873,0.16633789671493293,0.16849828868949862,0.16356471622680072,0.16539236340472577,0.17040869626663696,0.16579803869740614,0.426106591326779,0.426106591326779,0.426106591326779,0.426106591326779,0.426106591326779,0.426106591326779
46,-0.120850933774223,73,1353,956,1.3093333199837622,0.1660479101254769,0.16865205139582537,0.16380066446370603,0.16610306909712877,0.16917999573250522,0.16621630918535538,0.42524614644949343,0.42524614644949343,0.42524614644949343,0.42524614644949343,0.42524614644949343,0.42524614644949343
47,-0.08772929886020671,73,1371,972,1.3093333199837622,0.1663879710261172,0.16745271676967025,0.16402331663119926,0.1659931205039314,0.17026861064583942,0.16587426442323883,0.3799073465604266,0.3799073465604266,0.3799073465604266,0.3799073465604266,0.3799073465604266,0.3799073465604266
48,-0.00808135766631959,73,1388,987,1.3093333199837622,0.16879252437056166,0.16686289402046828,0.1650231679713245,0.16670204177543893,0.16804413629647785,0.16457523556572595,0.3861073910496322,0.3861073910496322,0.3861073910496322,0.3861073910496322,0.3861073910496322,0.3861073910496322
49,-0.05466481127333361,73,1407,1001,1.3093333199837622,0.16940857586513458,0.16769757014061393,0.16211170073568856,0.1647121112735123,0.16931160499288128,0.166758436992165,0.3699966359234939,0.3699966359234939,0.3699966359234939,0.3699966359234939,0.3699966359234939,0.3699966359234939
50,-0.022161285834691333,73,1423,1016,1.3093333199837622,0.16816454936480368,0.16903432255877976,0.16310762200840992,0.16369919940680466,0.16722049044599382,0.16877381621520227,0.3575067050156952,0.3575067050156952,0.3575067050156952,0.3575067050156952,0.3575067050156952,0.3575067050156952
51,-0.009948650524254336,73,1440,1033,1.3093333199837622,0.16860465840119385,0.16752376025302296,0.16469698282233744,0.1647575094370161,0.1669199396904896,0.1674971493959388,0.38132018187658206,0.38132018187658206,0.38132018187658206,0.38132018187658206,0.38132018187658206,0.38132018187658206
